Hospital,Phone,Beds
Park Hospital,7289000021,4 Oxygen Beds
W.Pratiksha Hospital,7289000021,4 Oxygen Beds
Aarvy Hospital,1950,0
Artemis Hospital,7289000021,0
Aryan Hospital Gurugram,7289000021,0
C K Birla Hospital,1950,0
Center of Diabetes & Allied Science,1950,0
Chirag Hospital,7289000021,0
Civil Hospital.,1950,0
Cloudnine Hospital,7289000021,0
Colombia Asia Hospital,7289000021,0
Fortis Hospital,7289000021,0
K.K Health Care Centre,7289000021,0
Kalyani Hospital,7289000021,0
Kamla Hospital,1950,0
Kathuria Hospital,7289000021,0
Life Aid Medical Centre,1950,0
Mamta Hospital,1950,0
Max Hospital,7289000021,0
Mayom Hospital,7289000021,0
Medanta the Medicity,7289000021,0
Medeor Hospital,7289000021,0
Metro Hospital,7289000021,0
Naryana Hospital,7289000021,0
Orbit Hospital,1950,0
Paras Hospital,7289000021,0
Polaris Hospital,7289000021,0
Poly Clinic Sector 31- Gurugram,7289000021,0
Pushpanjali Hospital,7289000021,0
Samvit Health Care,1950,0
Satyam Medicare Hospital,1950,0
Sethi Hospital,1950,0
SGT Medical College & Research Institute- Budhera,7289000021,0
Sheetla Hospital,1950,0
Shri Govind Hospital,1950,0
Signature Hospital,7289000021,0
SRU Multispecialty Hospital,7289000021,0
Sunrise Hospital,1950,0
Umkal Hospital,1950,0
Vardan Hospital,1950,0
