Hospital,Contact,Phone No,Normal Bed,Oxygen Bed,Found Useful(1hr),Notes,Comments,Up Votes,Updated On
vardan hospital,NA,N/A,14 ,10,N/A, 0,N/A,, -,TB,03-05 03:29:19
CHC Kharora,NA,N/A,0 ,16,N/A, 0,N/A,, -,TB,03-05 03:29:22
New Raipura Hospital,NA,N/A,16 ,3,N/A, 0,N/A,, -,TB,03-05 03:29:26
Railway Mandal Chikitsalaya Raipur,NA,N/A,3 ,12,N/A, 0,N/A,, -,TB,03-05 03:29:29
Shree Medishine Hospital Raipur,NA,N/A,25 ,90,N/A, 0,N/A, | D | Dinesh meraviTuesday | Please mention contact no, -,TB,03-05 03:29:32
shree sai paikra hospital,NA,N/A,6 ,0,N/A, 0,N/A,, -,TB,03-05 03:29:36
GOVT. PT. SHYAMACHARAN SHUKLA COLLEGE- DHARSIWA-,NA,N/A,35 ,15,N/A, 0,N/A,, -,TB,03-05 03:29:39
Dhanwantri vancer & Joint Replacement center,NA,N/A,0 ,8,N/A, 0,N/A,, -,TB,03-05 03:29:43
OM Hospital Raipur,NA,N/A,10 ,10,N/A, 0,N/A,, -,TB,03-05 03:29:46
CG Hospital,NA,N/A,1 ,6,N/A, 0,N/A,, -,TB,03-05 03:29:50
Divan multispeciality hospital,NA,N/A,0 ,21,N/A, 0,N/A,, -,TB,03-05 03:29:53
agarwal institute of sciences pvt ltd raipur cg,NA,N/A,15 ,12,N/A, 0,N/A,, -,TB,03-05 03:29:57
vidya hospital,NA,N/A,2 ,0,N/A, 0,N/A,, -,TB,03-05 03:30:00
smc heart institute and ivf research centre,NA,N/A,0 ,36,N/A, 0,N/A,, -,TB,03-05 03:30:07
khushi hospital,NA,N/A,9 ,15,N/A, 0,N/A,, -,TB,03-05 03:30:12
Roop Jeevan Hospital Devendra Nagar,NA,N/A,3 ,6,N/A, 0,N/A,, -,TB,03-05 03:30:16
Mahadeva hospital dawada colony raipur,NA,N/A,20 ,13,N/A, 0,N/A,, -,TB,03-05 03:30:20
Sankalp Hospital Raipur,NA,N/A,20 ,60,N/A, 0,N/A,, -,TB,03-05 03:30:23
RIMS Raipur,NA,N/A,90 ,30,N/A, 0,N/A,, -,TB,03-05 03:30:27
