Hospital,Contact,Phone No,Normal Bed,Oxygen Bed,Found Useful(1hr),Notes,Comments,Up Votes,Address,Total Beds,Updated On
Satyabhama Hospital- Nangloi,N/A,9311116607,0,N/A,0,N/A, | A | AkshayYesterday | No answer, -,,,29-04 12:51:37
AIIMS Jhajjar,N/A,9582222521,0,N/A,0,N/A, | V | Vinod Kumar SinghMonday | Number is switched off, -,,,29-04 12:51:40
Holy Family Hospital- Okhla,N/A,9716832400,0,N/A,0,N/A,, -,,,29-04 12:51:44
Sanjeevan Medical Res. - Daryaganj,N/A,9810203358,0,N/A,0,N/A,, -,,,29-04 12:51:47
Shree Agarsain International Hospital- Rohini- 22,N/A,9625941440,0,N/A,0,N/A,, -,,,29-04 12:51:51
Deen Dayal Upadhyay hospital,N/A,1125401075,0,N/A,0,N/A, | N | neha kumar Tuesday | ANY VENTILATOR BED AVAILABLE ? | NEED A ICU BED | IMMEDIATELY | OXYGEN LEVEL 58 | CRITICAL POSITION | CONTACT NO. 7835801416 | WE BELONG TO POOR FAMILY AND NO ONE HELPING US | N | No beds available Monday | No beds available  | N | NamitaMonday | No oxygen bed at 12.20 Apr 26 | S | Sanny KumarMonday | No beds available @ 11:45 (26th April) | ShrutiMonday | No oxygen bed available at 11:26 am on 26 April 2021. | C | ChinmayaMonday | No ICU bed available @11:08 AM 26 April, -,,,29-04 12:51:54
ESIC hospital Okhla,N/A,1126814161,10,N/A,0,N/A, | U | Usha1h | Urgent bed required for my husband 50 yrs.... who is detected with diabetes... CT value 17/ 25.... please help me | S | Satyam kwatra 1h | Hello  | I need an oxygen bed for my relative she has oxygen level down to 78 | PLEASE HELP | K | Kunal Yesterday | Need a bed for a patient who has really high fever at present. | 104.4 and the oxygen levels are dropping | V | Vineet BansalYesterday | Do you have ventilator | S | Surbhi Bajaj Monday | Number not available , -,,,29-04 12:51:57
Bhatia Global Hospital- Paschim Vihar,N/A,8368341698,0,N/A,0,N/A,, -,,,29-04 12:52:01
MGS Hospital- Punjabi Bagh,N/A,1145111444,0,N/A,0,N/A,, -,,,29-04 12:52:04
SMS Hospital- Gagan Vihar,N/A,1122505116,6,N/A,0,N/A, | K | KapilTuesday |  Bed required  | V | vineethMonday | number seema to be biay 22:23 on april 26 | S | ShaileshMonday | Phone not Picked at 14:09 pm | G | GarimaSunday | Oxy beds not available.....8 57 pm....25th April, -,,,29-04 12:52:07
