Hospital,Contact,Phone No,Normal Bed,Oxygen Bed,Found Useful(1hr),Notes,Comments,Up Votes,Updated On
Satyabhama Hospital- Nangloi,N/A,9311116607,0,N/A,N/A, 0,N/A,, -,TB,30-04 03:37:25
Rescue Hospital,N/A,9711960667,0,N/A,N/A, 0,N/A,, -,TB,30-04 03:37:28
AIIMS Jhajjar,N/A,9582222521,0,N/A,N/A, 0,N/A, | V | Vinod Kumar SinghMonday | Number is switched off, -,TB,30-04 03:37:31
Holy Family Hospital- Okhla,N/A,9716832400,0,N/A,N/A, 0,N/A,, -,TB,30-04 03:37:35
Sanjeevan Medical Res. - Daryaganj,N/A,9810203358,0,N/A,N/A, 0,N/A,, -,TB,30-04 03:37:38
Shree Agarsain International Hospital- Rohini- 22,N/A,9625941440,0,N/A,N/A, 0,N/A,, -,TB,30-04 03:37:42
Deen Dayal Upadhyay hospital,N/A,01125401075,0,N/A,N/A, 0,N/A, | N | neha kumar Tuesday | ANY VENTILATOR BED AVAILABLE ? | NEED A ICU BED | IMMEDIATELY | OXYGEN LEVEL 58 | CRITICAL POSITION | CONTACT NO. 7835801416 | WE BELONG TO POOR FAMILY AND NO ONE HELPING US | N | No beds available Monday | No beds available  | N | NamitaMonday | No oxygen bed at 12.20 Apr 26 | S | Sanny KumarMonday | No beds available @ 11:45 (26th April) | ShrutiMonday | No oxygen bed available at 11:26 am on 26 April 2021. | C | ChinmayaMonday | No ICU bed available @11:08 AM 26 April, -,TB,30-04 03:37:45
ESIC hospital Okhla,N/A,01126814161,8,N/A,N/A, 0,N/A, | G | Gourav Duggal1h | Need a ventilator bed athe earliest for my father in law | Age 70 | Oxygen level 72 | S | Sagar3h | Not picking up @00:09 | P | Priyanka vasa Yesterday | I need bed for my father. Oxygen level 75.. age 74 | I | Inderpal singhYesterday | I need icu bed for my husband please call if available8743939217 | U | UshaYesterday | Urgent bed required for my husband 50 yrs.... who is detected with diabetes... CT value 17/ 25.... please help me | S | Satyam kwatra Yesterday | Hello  | I need an oxygen bed for my relative she has oxygen level down to 78 | PLEASE HELP | K | Kunal Wednesday | Need a bed for a patient who has really high fever at present. | 104.4 and the oxygen levels are dropping | V | Vineet BansalWednesday | Do you have ventilator | S | Surbhi Bajaj Monday | Number not available , -,TB,30-04 03:37:48
Bhatia Global Hospital- Paschim Vihar,N/A,8368341698,0,N/A,N/A, 0,N/A,, -,TB,30-04 03:37:52
MGS Hospital- Punjabi Bagh,N/A,01145111444,0,N/A,N/A, 0,N/A,, -,TB,30-04 03:37:55
SMS Hospital- Gagan Vihar,N/A,01122505116,13,N/A,N/A, 0,N/A, | D | Deeksha11h | no beds available. Call and confirm after 7pm. | verified at 4:23pm 29/04 | K | KapilTuesday |  Bed required  | V | vineethMonday | number seema to be biay 22:23 on april 26 | S | ShaileshMonday | Phone not Picked at 14:09 pm | G | GarimaSunday | Oxy beds not available.....8 57 pm....25th April, -,TB,30-04 03:37:58
Brahm Shakti Hospital- Budh Vihar,N/A,7840089703,0,N/A,N/A, 0,N/A,, -,TB,30-04 03:38:02
AIIMS Main Delhi,N/A,01126588500,3,N/A,N/A, 0,N/A, | V | Vaishali1h | Need bed with oxygen support urgently. | Patient: Dr. Anil Kumar Sood | Retd. Director department of Science and Technology. | Age: 70 | Address: Kirti apartment- Mayur Vihar extension phase 1- Delhi. | History: BP- Thalasemia minor. | Covid positive- 186 ERP- CT scan 12/25 | Patient relative contact number : 9820018504 or 9999007027. | Please help very urgently as oxygen fluctuating between 76 and 83 | S | Satya Prakash SinghWednesday | Use Aspidosperma Q mother tincture a homeopathic medicine 10 drops in some water to instantly increase oxygen level. No harm to check once | N | neha kumar Tuesday | ANY VENTILATOR BED AVAILABLE ? | NEED A ICU BED | IMMEDIATELY | OXYGEN LEVEL 58 | CRITICAL POSITION | CONTACT NO. 7835801416 | WE BELONG TO POOR FAMILY AND NO ONE HELPING US | DOCTOR SAY SHE HAVE ONLY 2 DAYS, -,TB,30-04 03:38:05
